Competency Score Key,Student Key,Assessment Key,Session,Type,Number,Category Group,Category,Points Earned,Percent Earned,Source CSV
2026-01-E2-STU-13F2F95CB050-7208e2b7c0,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Analysis.Diagnosis,20,0.8888888889000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-4ad703a50f,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Assessment,9.166667,0.73333336,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-6811969a2e,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Evaluation,18.75,0.9375,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-e2d31dab35,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Implementation.Intervention,37.5,0.9375,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-f7b99bcf79,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Planning,30.267857,0.8071428532999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-433d9b66e4,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL QSEN,PreL QSEN Evidence Based Practice,10,0.8,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-86b92c4914,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL QSEN,PreL QSEN Patient-Centered Care,93.809524,0.8934240380999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-ac025be99a,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL QSEN,PreL QSEN Safety,14.375,0.8214285714,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-e8f7db1c5f,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL BowTie,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-102a0fc96b,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL Cloze Drop Down,10,0.8,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-45cae5c6b3,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL Fill in the Blank,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-6a056681c3,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL Matching,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-6ccec41abe,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL Matrix Single Response,12.142857,0.97142856,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-23e6c98fa2,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL Multiple Choice (Traditional and Extended),72.5,0.8787878788000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-71b6520e61,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL Select All That Apply (Traditional and NGN),13.75,0.7857142856999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-8d8ad85447,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Question Types,PreL Select N,4.166667,0.8333334000000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-0e03f0c949,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Retired FCU Item,PreL Retired FCU Item,3.75,0.75,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-1d217b9580,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Spheres of Care,PreL Chronic Disease Management,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-97a2814085,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Spheres of Care,PreL Regenerative.Restorative Care,93.809524,0.8934240380999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-12d567c99d,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Spheres of Care,PreL Wellness.Disease Prevention,23.75,0.7916666667,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-c1bd663669,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Abuse And Neglect,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-e6b70f2d54,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Alterations Of Cognition,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-27cf16e1a2,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,"Alterations Of Mood, Affect, And Suicidal Ideation",12.142857,0.97142856,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-fa053c2d3d,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Altered Mental Health in Children And Adolescents,1.25,0.5,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-498751fc38,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Altered Mental Health in Older Adults,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-1cbee7826e,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Altered Stress Response,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-503a5f8c45,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Anxiety,5,0.6666666667,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-05927e368a,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Bereavement,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-1890368d0b,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Bipolar Disorder,8.75,0.875,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-2b78c3806d,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Cluster A Personality Disorders,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-b95e06e7c3,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Cluster B Personality Disorders,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-6635d16f8b,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Cluster C Personality Disorders,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-7f9b4bcbe0,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Depressive Disorders,8.75,0.875,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-1b5c5da084,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Disruptive Behavior Disorders,4.375,0.875,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-d089a7775d,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Eating Disorders,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-e9de1f1fa2,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Human Trafficking,2.5,0.5,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-bd10abc1d1,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Interpersonal Violence,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-ae0a6a74e4,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Intimate Partner Violence And Sexual Assault,0,0,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-346cf7e927,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Lateral/Horizontal Violence,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-ae75124dc6,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Medication Calculation,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-1ca370f5d1,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Neurodevelopmental Disorders,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-20310915b2,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Obsessive Compulsive Disorder,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-e823b45f21,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Post Traumatic Stress Disorder.Syndrome,6.666667,0.8888889333000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-11d1d0043d,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Psychosis,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-995643d06a,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Schizophrenia,8.75,0.875,W8 NR326 Exam 2.csv
2026-01-E2-STU-13F2F95CB050-2530b0ad73,STU-13F2F95CB050,2026-01-E2,Jan 2026,Exam,2,PreL Topics Mental Health,Substance Related Disorders,9.375,0.75,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-f6bdb0f289,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 1: Knowledge for Nursing Practice,15,0.75,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-30d08387a1,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 2: Person-Centered Care,82.97619,0.754329,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-752e13a295,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 3: Population Health,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-aa1f00c8f5,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL BSN Essentials,PreL Domain 5: Quality and Safety,5,0.6666666667,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-79f67744c7,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Bloom's Taxonomy,PreL Apply.Analyze,92.97619,0.7292250196000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-15028dba2a,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Bloom's Taxonomy,PreL Evaluate,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-95ed4e1cad,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Bloom's Taxonomy,PreL Remember.Understand,10,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-75fbc3f34e,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Case Study,PreL Case Study,14.642857,0.9761904667,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-5abfee50a1,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 1-Recognize Cues,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-536ceb4ace,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 2-Analyze Cues,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-b759b4ab6e,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 3-Prioritize Hypotheses,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-0dbb949410,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 4-Generate Solutions,2.142857,0.8571428,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-aaa694179b,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 5-Take Actions,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-9e247bee48,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Clinical Judgment,PreL 6-Evaluate Outcomes,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-d2bbd673f3,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Addiction,10,0.8,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-2db19b7764,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Anxiety,10,0.6666666667,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-3092f7e9b2,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Cognition,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-c8b3df7ba6,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Communication,5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-676e1bed12,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Development,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-cdc6c07443,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Fluid and Electrolytes,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-4b89691a4e,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Interpersonal Violence,12.5,0.7142857143000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-cf65b8e5f6,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Mood and Affect,11.25,0.6428571429000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-fb9a0d5a21,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Nutrition,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-9f794253dc,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Palliative Care,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-06a875c73d,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Psychosis,11.25,0.6428571429000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-d526f944df,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Safety,19.642857,0.8730158667000001,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-49053bd6c4,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Concepts,PreL Stress and Coping,13.333333,0.6666666499999999,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-3ad81f9a19,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Courses,NR326 Mental Health Nursing,0,0,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-b43cca7fc9,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Dosage Calculation,PreL Oral Dosage,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-bbac96ba94,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Dosage Calculation,PreL Parenteral Dosage,2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-a7a3e0988a,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Exam,PreL FCUE NR326,105.47619,0.7534013571,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-54272dbeb3,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Basic Care and Comfort (BCC),2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-a5dea4da9a,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Health Promotion and Maintenance (HPM),5,0.6666666667,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-2e9a6b7b34,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Management of Care (MC),6.25,0.41666666669999997,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-fd2eee6480,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Pharmacological and Parenteral Therapies (PPT),8.75,0.875,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-64127da332,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Physiological Adaptation (PA),2.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-8ea1ba17ba,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Psychosocial Integrity (PI),75.47619,0.7741147692,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-14e35da63a,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL NCLEX Client Needs Category,PreL Safety and Infection Control (SIC),5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-7208e2b7c0,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Analysis.Diagnosis,15,0.6666666667,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-4ad703a50f,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Assessment,12.5,1,W8 NR326 Exam 2.csv
2026-01-E2-STU-5B8FEB7FAD51-6811969a2e,STU-5B8FEB7FAD51,2026-01-E2,Jan 2026,Exam,2,PreL Nursing Process,PreL Evaluation,17.5,0.875,W8 NR326 Exam 2.csv
